Model,Accuracy,Precision,Recall,F1-Score,CV Score
ANN,0.8817204301075269,0.8960058994014851,0.8817204301075269,0.8799343903772553,0.0
Decision Tree,0.8602150537634409,0.86952057563263,0.8602150537634409,0.8597557378769953,0.8705937353903692
Random Forest,0.8817204301075269,0.9061047519944502,0.8817204301075269,0.8840657444550579,0.902945301542777
KNN,0.8494623655913979,0.8589861751152074,0.8494623655913979,0.850222872528981,0.8555867227676485
