Model,Accuracy,Precision,Recall,F1-Score,CV Score
ANN,0.9473684210526315,0.9481174199867484,0.9473684210526315,0.9471120984278879,0.0
Decision Tree,0.9649122807017544,0.968705547652916,0.9649122807017544,0.9642439431913116,0.9631578947368421
Random Forest,0.9912280701754386,0.9914860681114551,0.9912280701754386,0.9911960664513689,0.9929824561403509
KNN,0.9736842105263158,0.9763157894736841,0.9736842105263158,0.9734587386458803,0.9649122807017545
